0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1485795167.5735295,189273384.4589508,1.6730000000000003,1485694253.6314247,-4749221963.852505,-4938495348.311456,1310275441.163455,203069711.79957214,1.561,1332754328.4331512,-230468791.86922014,-433538503.6687923,3743332245.4138436,423382482.23913056,1.8199999999999996,2789209292.090495,1512774373.4001374,1089391891.161007
1479607370.591616,194473505.6204271,1.673,1470743573.2016497,-4740358166.462539,-4934831672.082966,1147304217.472392,169041931.49319857,1.561,1183814463.4055777,-266979037.8024056,-436020969.29560417,4203598493.7855616,329349303.42925304,1.8199999999999998,2116912411.1956532,3599460455.9900455,3270111152.560794
1660511746.6613762,297808459.5702216,1.673,1511150970.152751,-4590997389.953914,-4888805849.524136,962119340.6639518,145858376.3124611,1.561,985446237.4042968,-290305934.5427506,-436164310.85521173,4437687547.728325,299385627.2526903,1.8200000000000003,1646746517.1462653,6390401486.572104,6091015859.319415
2279395138.478976,276870259.0944158,1.673,2314112357.688512,-4625714609.16345,-4902584868.257866,733386409.0338471,37348231.427510895,1.561,850295467.2923743,-407214992.8012778,-444563224.2287887,4015519976.8538094,295325594.98422664,1.8199999999999998,1496928136.2634513,8908993327.162462,8613667732.178236
2113724815.1308794,252714685.00523376,1.673,2151412652.855592,-4663402446.888163,-4916117131.893396,223366013.64145842,29466118.228894003,1.561,217725115.9451308,-401574095.10495013,-431040213.3338441,4401090546.933123,303687636.2484366,1.8200000000000003,1476627974.921133,11833455899.17445,11529768262.926014
1966144929.3897598,247216598.90664497,1.673,1963712435.7848408,-4660969953.283243,-4908186552.189888,181484886.08368498,20702458.79896478,1.561,171775577.11911303,-391864786.14037824,-412567244.93934304,4000063445.2184935,226764404.27230918,1.8200000000000003,1518438181.242183,14315081163.15076,14088316758.878452
1912825744.8639357,353166569.8666357,1.673,1920989710.5716586,-4669133918.990967,-5022300488.857602,181484886.08368495,20702458.79896476,1.5610000000000002,120686979.5455346,-331066879.60222787,-351769338.4011926,2415476665.6359715,206098486.8323092,1.8199999999999998,1133822021.3615458,15596735807.425186,15390637320.592878
1136433129.37056,0.0,0.0,2744271015.1023693,-6276971804.722776,-6276971804.722776,59830182.22539065,0.0,0.0,172409970.77933496,-443646668.15617216,-443646668.15617216,997501016.2947247,0.0,0.0,1472132048.8022084,15122104774.917704,15122104774.917704
0.0,0.0,0.0,1477684392.7474298,-7754656197.470206,-7754656197.470206,0.0,0.0,0.0,92836138.11194961,-536482806.2681218,-536482806.2681218,0.0,0.0,0.0,792686487.8165739,14329418287.10113,14329418287.10113
0.0,0.0,0.0,0.0,-7754656197.470206,-7754656197.470206,0.0,0.0,0.0,0.0,-536482806.2681218,-536482806.2681218,0.0,0.0,0.0,0.0,14329418287.10113,14329418287.10113
0.0,0.0,0.0,0.0,-7754656197.470206,-7754656197.470206,0.0,0.0,0.0,0.0,-536482806.2681218,-536482806.2681218,0.0,0.0,0.0,0.0,14329418287.10113,14329418287.10113
0.0,0.0,0.0,0.0,-7754656197.470206,-7754656197.470206,0.0,0.0,0.0,0.0,-536482806.2681218,-536482806.2681218,0.0,0.0,0.0,0.0,14329418287.10113,14329418287.10113
